n,confound_strength,p01,p10,estimator,mean_estimate,bias,variance,rmse,n_seeds,delta
2000,0.5,0.1,0.30000000000000004,single_rewrite,0.9740423607341908,-0.025957639265809185,0.0011273222419544897,0.04239532447572328,300,-0.20000000000000004
2000,0.5,0.15000000000000002,0.25,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,-0.09999999999999998
2000,0.5,0.15000000000000002,0.25,rate,1.0500390342273282,0.05003903422732825,0.0010965999511500081,0.05997374062356996,300,-0.09999999999999998
2000,0.5,0.15000000000000002,0.25,single_rewrite,0.9488940274008574,-0.051105972599142624,0.0011144872783715653,0.06101305398094178,300,-0.09999999999999998
2000,0.5,0.2,0.2,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,0.0
2000,0.5,0.2,0.2,rate,1.000173200893995,0.00017320089399497363,0.0011119989205642224,0.03329147422457221,300,0.0
2000,0.5,0.2,0.2,single_rewrite,0.9238090274008574,-0.07619097259914265,0.001131081151359321,0.08326088629397418,300,0.0
2000,0.5,0.25,0.15000000000000002,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,0.09999999999999998
2000,0.5,0.25,0.15000000000000002,rate,0.950505700893995,-0.049494299106005,0.0011263289880208366,0.059768387982740936,300,0.09999999999999998
2000,0.5,0.25,0.15000000000000002,single_rewrite,0.899073194067524,-0.10092680593247605,0.0011295842060735405,0.1063580701268987,300,0.09999999999999998
2000,0.5,0.30000000000000004,0.09999999999999998,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,0.20000000000000007
2000,0.5,0.30000000000000004,0.09999999999999998,rate,0.9006640342273283,-0.09933596577267167,0.0011099889688568373,0.10475649431713867,300,0.20000000000000007
2000,0.5,0.30000000000000004,0.09999999999999998,single_rewrite,0.874128194067524,-0.12587180593247604,0.0011202017538152725,0.13023125307188027,300,0.20000000000000007
2000,0.5,0.35000000000000003,0.04999999999999999,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,0.30000000000000004
2000,0.5,0.35000000000000003,0.04999999999999999,rate,0.8504973675606617,-0.14950263243933826,0.0011248742261043949,0.1532062719070032,300,0.30000000000000004
2000,0.5,0.35000000000000003,0.04999999999999999,single_rewrite,0.8491915274008575,-0.15080847259914254,0.0011136651907754694,0.15444464503879457,300,0.30000000000000004
2000,0.5,0.4,0.0,naive,0.848849280004862,-0.15115071999513796,0.0020277334912496923,0.1576943706498771,300,0.4
2000,0.5,0.4,0.0,rate,0.800788200893995,-0.19921179910600495,0.001105163494153405,0.20195747205511075,300,0.4
2000,0.5,0.4,0.0,single_rewrite,0.8243323607341908,-0.1756676392658092,0.0011070819742908277,0.17878062307270803,300,0.4
2000,0.75,0.0,0.4,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,-0.4
2000,0.75,0.0,0.4,rate,1.200603200893995,0.20060320089399508,0.001089970705613658,0.20329284709218082,300,-0.4
2000,0.75,0.0,0.4,single_rewrite,0.9992498607341906,-0.0007501392658093575,0.0011182750191460452,0.03339326495967414,300,-0.4
2000,0.75,0.04999999999999999,0.35000000000000003,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,-0.30000000000000004
2000,0.75,0.04999999999999999,0.35000000000000003,rate,1.1505048675606617,0.15050486756066173,0.0011035927258541073,0.15411563594550332,300,-0.30000000000000004
2000,0.75,0.04999999999999999,0.35000000000000003,single_rewrite,0.974103194067524,-0.025896805932476008,0.0011223022600462761,0.04229900483483167,300,-0.30000000000000004
2000,0.75,0.1,0.30000000000000004,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,-0.20000000000000004
2000,0.75,0.1,0.30000000000000004,rate,1.1003273675606617,0.10032736756066174,0.0010960501080309745,0.10563132721557078,300,-0.20000000000000004
2000,0.75,0.1,0.30000000000000004,single_rewrite,0.949040694067524,-0.050959305932475996,0.0011223628378821096,0.06095467569876971,300,-0.20000000000000004
2000,0.75,0.15000000000000002,0.25,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,-0.09999999999999998
2000,0.75,0.15000000000000002,0.25,rate,1.0500390342273282,0.05003903422732825,0.0010965999511500081,0.05997374062356996,300,-0.09999999999999998
2000,0.75,0.15000000000000002,0.25,single_rewrite,0.9238923607341906,-0.07610763926580943,0.001108947110642553,0.083051931795042,300,-0.09999999999999998
2000,0.75,0.2,0.2,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,0.0
2000,0.75,0.2,0.2,rate,1.000173200893995,0.00017320089399497363,0.0011119989205642224,0.03329147422457221,300,0.0
2000,0.75,0.2,0.2,single_rewrite,0.8988073607341907,-0.10119263926580935,0.0011264165354697734,0.10659555363740597,300,0.0
2000,0.75,0.25,0.15000000000000002,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,0.09999999999999998
2000,0.75,0.25,0.15000000000000002,rate,0.950505700893995,-0.049494299106005,0.0011263289880208366,0.059768387982740936,300,0.09999999999999998
2000,0.75,0.25,0.15000000000000002,single_rewrite,0.8740715274008574,-0.12592847259914264,0.001124536276360135,0.1303026017900588,300,0.09999999999999998
2000,0.75,0.30000000000000004,0.09999999999999998,naive,0.7989119585617234,-0.20108804143827663,0.002026954085835584,0.2060499890359089,300,0.20000000000000007
